,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
166,167,Mystify: Michael Hutchence,-,-,-,"$289,573",597,"$289,573",Jan 7,Fathom Events,False
167,168,Created Equal: Clarence Thomas in His Own Words,-,-,-,"$282,149",53,"$282,149",Jan 31,Manifold Productions Inc.,False
168,169,Fatman,-,-,-,"$278,376",259,"$278,378",Nov 13,Saban Films,False
169,170,An American in Paris2020 Re-release,-,-,-,"$267,824",651,"$267,824",Jan 19,Fathom Events,False
170,171,Wonder Woman2020 Re-release,-,-,-,"$252,000",560,"$252,000",Dec 11,Warner Bros.,False
171,172,Back to the Future2020 Re-release,-,-,-,"$247,000",258,"$247,000",Jul 31,Universal Pictures,False
172,173,Bohemian Rhapsody2020 Re-release,-,-,-,"$240,000",-,"$240,000",Jul 17,Twentieth Century Fox,False
173,174,63 Up,-,-,-,"$238,204",28,"$483,684",Nov 27,BritBox,False
174,175,Tokyo Godfathers2020 Re-release,-,-,-,"$237,581",519,"$237,571",Mar 9,Fathom Events,False
175,176,Blind Eyes Opened,-,-,-,"$234,505",534,"$234,505",Jan 23,Fathom Events,False
176,177,The Climb,-,-,-,"$234,429",408,"$234,429",Nov 13,Sony Pictures Classics,False
177,178,Doctor Who Live Q&A And Screening,-,-,-,"$228,615",692,"$228,615",Jan 5,Fathom Events,False
178,179,CatVideoFest 2020,-,-,-,"$219,698",84,"$437,625",Feb 21,Oscilloscope,False
179,180,Frozen2020 Re-release,-,-,-,"$215,000",1367,"$215,000",Nov 25,Walt Disney Studios Motion Pictures,False
180,181,Wild Mountain Thyme,-,-,-,"$213,440",450,"$213,440",Dec 11,Bleecker Street Media,False
181,182,The Secrets We Keep,-,-,-,"$207,928",471,"$207,928",Sep 16,Bleecker Street Media,False
182,183,Jiang Ziya,-,-,-,"$206,975",55,"$214,670",Oct 1,Well Go USA Entertainment,False
183,184,Fate/stay night [Heaven's Feel] III. spring song,-,-,-,"$200,000",304,"$200,000",Nov 18,Fathom Events,False
184,185,Ashfall,-,-,-,"$199,575",18,"$372,562",Dec 19,Capelight Pictures,False
185,186,National Theater Live: Cyrano de Bergerac2020 Re-release,-,-,-,"$198,352",472,"$198,352",Feb 20,Fathom Events,False
186,187,Zombieland: Double Tap,-,-,-,"$192,926",3468,"$73,123,082",Oct 18,Sony Pictures Entertainment (SPE),False
187,188,Cunningham,-,-,-,"$190,635",23,"$265,102",Dec 13,Magnolia Pictures,False
188,189,The Doors: Break On Thru - A Celebration Of Ray Manzarek,-,-,-,"$189,771",330,"$190,160",Feb 12,Trafalgar Releasing,False
189,190,The Outpost,-,-,-,"$186,634",81,"$186,635",Jul 3,Fathom Events,False
190,191,The Wolf of Snow Hollow,-,-,-,"$185,026",112,"$185,026",Oct 9,United Artists Releasing,False
191,192,Come Away,-,-,-,"$183,423",475,"$184,477",Nov 13,Relativity Media,False
192,193,The Good Liar,-,-,-,"$182,779",2454,"$17,156,058",Nov 15,Warner Bros.,False
193,194,And Then We Danced,-,-,-,"$177,262",23,"$177,262",Feb 7,Music Box Films,False
194,195,Beanpole,-,-,-,"$173,162",35,"$196,258",Jan 29,Kino Lorber,False
195,196,Follow Me,-,-,-,"$167,962",50,"$167,962",Sep 18,Vertical Entertainment,False
196,197,Extra Ordinary,-,-,-,"$164,346",80,"$164,346",Mar 6,Good Deed Entertainment,False
197,198,Palm Springs,-,-,-,"$164,000",66,"$164,000",Jul 10,Neon,False
198,199,A Call to Spy,-,-,-,"$158,864",79,"$159,014",Oct 2,IFC Films,False
199,200,Love Story50th Anniversary,-,-,-,"$153,504",650,"$153,504",Feb 9,Fathom Events,False
